"variant_name","country_code","year_week","new_cases","number_deaths"
C.1.2,AT,"2020-17",448,1588
C.16,AT,"2020-17",448,1588
C.36+L452R,AT,"2020-17",448,1588
Delta,AT,"2020-17",2688,1588
Epsilon,AT,"2020-17",448,1588
Eta,AT,"2020-17",448,1588
Gamma,AT,"2020-17",896,1588
Kappa,AT,"2020-17",448,1588
Lambda,AT,"2020-17",448,1588
Mu,AT,"2020-17",448,1588
Omicron,AT,"2020-17",2688,1588
Other,AT,"2020-17",448,1588
Theta,AT,"2020-17",448,1588
UNK,AT,"2020-17",448,1588
XD,AT,"2020-17",448,1588
XF,AT,"2020-17",448,1588
Zeta,AT,"2020-17",448,1588
A.23.1+E484K,AT,"2020-18",312,1480
A.27,AT,"2020-18",312,1480
A.28,AT,"2020-18",312,1480
Alpha,AT,"2020-18",1248,1480
AT.1,AT,"2020-18",312,1480
AV.1,AT,"2020-18",312,1480
B.1.1.318,AT,"2020-18",312,1480
B.1.1.519,AT,"2020-18",312,1480
B.1.214.2,AT,"2020-18",312,1480
B.1.526,AT,"2020-18",312,1480
B.1.616,AT,"2020-18",312,1480
B.1.617.3,AT,"2020-18",312,1480
B.1.620,AT,"2020-18",312,1480
B.1.640,AT,"2020-18",312,1480
Beta,AT,"2020-18",936,1480
C.1.2,AT,"2020-18",312,1480
C.16,AT,"2020-18",312,1480
C.36+L452R,AT,"2020-18",312,1480
Delta,AT,"2020-18",1872,1480
Epsilon,AT,"2020-18",312,1480
Eta,AT,"2020-18",312,1480
Gamma,AT,"2020-18",624,1480
Kappa,AT,"2020-18",312,1480
Lambda,AT,"2020-18",312,1480
Mu,AT,"2020-18",312,1480
Omicron,AT,"2020-18",1872,1480
Other,AT,"2020-18",312,1480
Theta,AT,"2020-18",312,1480
UNK,AT,"2020-18",312,1480
XD,AT,"2020-18",312,1480
XF,AT,"2020-18",312,1480
Zeta,AT,"2020-18",312,1480
A.23.1+E484K,AT,"2020-19",264,1520
A.27,AT,"2020-19",264,1520
A.28,AT,"2020-19",264,1520
Alpha,AT,"2020-19",1056,1520
AT.1,AT,"2020-19",264,1520
AV.1,AT,"2020-19",264,1520
B.1.1.318,AT,"2020-19",264,1520
B.1.1.519,AT,"2020-19",264,1520
B.1.214.2,AT,"2020-19",264,1520
B.1.526,AT,"2020-19",264,1520
B.1.616,AT,"2020-19",264,1520
B.1.617.3,AT,"2020-19",264,1520
B.1.620,AT,"2020-19",264,1520
B.1.640,AT,"2020-19",264,1520
Beta,AT,"2020-19",792,1520
C.1.2,AT,"2020-19",264,1520
C.16,AT,"2020-19",264,1520
C.36+L452R,AT,"2020-19",264,1520
Delta,AT,"2020-19",1584,1520
Epsilon,AT,"2020-19",264,1520
Eta,AT,"2020-19",264,1520
Gamma,AT,"2020-19",528,1520
Kappa,AT,"2020-19",264,1520
Lambda,AT,"2020-19",264,1520
Mu,AT,"2020-19",264,1520
Omicron,AT,"2020-19",1584,1520
Other,AT,"2020-19",264,1520
Theta,AT,"2020-19",264,1520
UNK,AT,"2020-19",264,1520
XD,AT,"2020-19",264,1520
XF,AT,"2020-19",264,1520
Zeta,AT,"2020-19",264,1520
A.23.1+E484K,AT,"2020-20",335,1489
A.27,AT,"2020-20",335,1489
A.28,AT,"2020-20",335,1489
Alpha,AT,"2020-20",1340,1489
AT.1,AT,"2020-20",335,1489
AV.1,AT,"2020-20",335,1489
B.1.1.318,AT,"2020-20",335,1489
B.1.1.519,AT,"2020-20",335,1489
B.1.214.2,AT,"2020-20",335,1489
B.1.526,AT,"2020-20",335,1489
B.1.616,AT,"2020-20",335,1489
B.1.617.3,AT,"2020-20",335,1489
B.1.620,AT,"2020-20",335,1489
B.1.640,AT,"2020-20",335,1489
Beta,AT,"2020-20",1005,1489
C.1.2,AT,"2020-20",335,1489
C.16,AT,"2020-20",335,1489
C.36+L452R,AT,"2020-20",335,1489
Delta,AT,"2020-20",2010,1489
Epsilon,AT,"2020-20",335,1489
Eta,AT,"2020-20",335,1489
Gamma,AT,"2020-20",670,1489
Kappa,AT,"2020-20",335,1489
Lambda,AT,"2020-20",335,1489
Mu,AT,"2020-20",335,1489
Omicron,AT,"2020-20",2010,1489
Other,AT,"2020-20",335,1489
Theta,AT,"2020-20",335,1489
UNK,AT,"2020-20",335,1489
XD,AT,"2020-20",335,1489
XF,AT,"2020-20",335,1489
Zeta,AT,"2020-20",335,1489
A.23.1+E484K,AT,"2020-21",265,1481
A.27,AT,"2020-21",265,1481
A.28,AT,"2020-21",265,1481
Alpha,AT,"2020-21",1060,1481
AT.1,AT,"2020-21",265,1481
AV.1,AT,"2020-21",265,1481
B.1.1.318,AT,"2020-21",265,1481
B.1.1.519,AT,"2020-21",265,1481
B.1.214.2,AT,"2020-21",265,1481
B.1.526,AT,"2020-21",265,1481
B.1.616,AT,"2020-21",265,1481
B.1.617.3,AT,"2020-21",265,1481
B.1.620,AT,"2020-21",265,1481
B.1.640,AT,"2020-21",265,1481
Beta,AT,"2020-21",795,1481
C.1.2,AT,"2020-21",265,1481
C.16,AT,"2020-21",265,1481
C.36+L452R,AT,"2020-21",265,1481
Delta,AT,"2020-21",1590,1481
Epsilon,AT,"2020-21",265,1481
Eta,AT,"2020-21",265,1481
Gamma,AT,"2020-21",530,1481
Kappa,AT,"2020-21",265,1481
Lambda,AT,"2020-21",265,1481
Mu,AT,"2020-21",265,1481
Omicron,AT,"2020-21",1590,1481
Other,AT,"2020-21",265,1481
Theta,AT,"2020-21",265,1481
UNK,AT,"2020-21",265,1481
XD,AT,"2020-21",265,1481
XF,AT,"2020-21",265,1481
